,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
206,4502,Female,IGCSE (British),3,4,3,5,5,3,3,3,3,1,5,3,5,4,3,3,3,5,3
207,4521,Male,IGCSE (British),5,4,4,5,5,5,4,4,2,2,5,3,5,3,4,4,5,4,5
208,4509,Male,IGCSE (British),5,5,4,5,5,1,1,3,1,1,1,3,2,5,4,4,5,4,5
209,4501,Female,IGCSE (British),3,4,4,5,5,2,2,1,1,1,3,3,4,1,2,2,4,3,3
210,4499,Female,IGCSE (British),5,5,4,5,4,3,2,2,2,2,3,3,3,2,3,3,4,5,4
211,4505,Male,IB,5,5,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,5,5
212,4495,Female,IGCSE (British),3,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,5,5
213,4344,Female,American Diploma,3,5,5,5,4,2,1,1,1,1,4,1,1,5,5,5,5,5,5
214,4292BM,Male,IGCSE (British),3,5,4,3,5,2,2,2,1,1,1,1,1,1,3,3,3,4,3
215,4279,Male,IGCSE (British),5,5,5,5,5,4,4,2,2,2,5,4,4,4,4,4,5,5,5
216,4341,Male,National,3,5,3,5,5,1,1,1,3,1,5,5,5,5,3,5,5,5,5
217,4279,Female,IGCSE (British),4,5,5,5,5,4,3,4,5,4,5,4,5,5,5,5,5,5,5
218,4281,Female,IGCSE (British),5,5,4,5,5,3,2,5,5,2,5,5,5,5,3,3,4,3,4
219,4245,Female,IGCSE (British),4,5,5,5,5,3,4,1,1,1,5,3,5,4,4,5,5,5,5
220,4335,Female,IGCSE (British),4,3,5,3,4,4,3,3,3,3,5,4,5,4,4,4,3,3,3
221,4326,Male,IGCSE (British),5,5,3,5,5,1,1,1,1,1,5,1,3,1,4,4,5,5,4
222,4334,Male,IGCSE (British),1,2,3,1,1,3,2,2,3,2,2,4,3,3,3,2,4,5,5
223,4370,Male,IB,1,1,1,3,2,1,1,1,3,1,4,1,3,5,2,1,2,5,4
224,4360,Male,American Diploma,1,3,3,5,3,1,1,1,3,3,5,5,5,3,1,3,5,5,5
225,4345,Male,National,5,5,3,5,5,1,3,1,1,1,1,1,3,1,3,1,5,5,5
226,4350,Male,IB,3,5,4,3,4,3,2,3,2,2,5,3,5,3,3,3,2,4,4
227,4463,Male,IGCSE (British),5,5,3,5,5,1,1,1,1,1,1,1,3,1,,5,5,5,5
228,4562,Female,IGCSE (British),4,4,4,4,4,4,3,1,3,4,4,4,4,4,4,4,4,4,4
229,4563,Male,IGCSE (British),5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
230,4564,Male,IGCSE (British),4,5,5,4,4,4,4,4,2,2,3,1,2,1,4,5,5,5,5
231,4537,Male,IGCSE (British),3,3,5,5,5,5,5,3,1,1,3,1,1,3,3,5,5,3,3
232,4558,Male,IGCSE (British),5,3,4,5,5,4,5,3,1,1,3,1,2,3,3,5,5,5,4
233,4550,Female,IGCSE (British),5,5,4,5,5,3,3,2,1,2,4,4,5,4,4,3,5,5,5
234,4573,Female,IGCSE (British),1,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,3,1,3
235,4536,Male,IGCSE (British),3,4,3,5,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4
236,4571,Female,IGCSE (British),3,3,5,5,5,5,5,3,5,5,5,5,3,5,3,3,5,5,5
237,4571,Female,IGCSE (British),1,2,2,4,4,2,1,1,2,2,3,2,3,3,2,3,3,2,3
238,4566,Male,IGCSE (British),4,4,5,5,5,2,1,2,2,1,2,2,3,1,3,3,4,5,5
239,4546,Male,IGCSE (British),3,4,5,5,4,1,3,1,1,1,4,1,4,2,4,4,4,4,5
240,4554,Female,IGCSE (British),5,5,5,5,5,1,1,1,1,1,5,5,3,5,5,5,5,5,5
241,4535,Female,IGCSE (British),5,5,5,5,5,3,2,3,2,3,3,2,3,1,5,3,3,5,3
242,4553,Male,IGCSE (British),4,5,5,4,5,1,3,1,2,1,3,1,2,2,5,3,5,5,4
243,4540,Male,IGCSE (British),3,5,5,5,3,1,1,1,1,1,1,1,1,1,5,5,5,5,5
244,4358F,Female,IGCSE (British),5,5,4,5,5,3,3,2,3,2,4,2,3,1,4,4,5,5,5
245,4572,Female,IGCSE (British),4,5,5,5,3,1,2,1,1,1,5,1,1,1,3,2,5,5,5
246,4549,Female,IGCSE (British),4,5,4,3,4,3,2,2,4,3,3,4,3,2,3,3,5,4,5
247,4568,Male,IGCSE (British),4,4,5,5,4,1,1,1,1,1,3,1,2,3,4,4,4,5,5
248,4543,Male,IGCSE (British),5,5,5,5,5,5,4,4,4,5,5,1,5,3,5,5,5,5,5
249,4569,Female,IGCSE (British),3,5,3,3,3,1,1,1,1,1,3,1,1,1,1,1,3,3,2
250,4574,Male,IGCSE (British),5,4,4,5,4,3,3,3,4,3,2,2,5,3,4,4,4,4,4
251,4560,Male,IGCSE (British),5,5,5,5,5,4,4,1,3,1,4,1,1,1,3,4,3,5,4
